timestamp,scenario_id,scenario,config,ruta,n_alertas,utilidad,critic_rechazos,violaciones,exito,gt_alerts_ok,gt_actions_ok,gt_critic_ok,gt_pass
2026-05-14T17:04:13.916441,S12,Mildiu + estrés hídrico simultáneos — pr,sin_critic,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.916690,S13,Estrés térmico + estrés hídrico — verano,sin_critic,urgente,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.917164,S14,Triple alerta — mildiu + helada + viento,sin_critic,urgente,3,0.5135,0,0,True,True,True,True,True
2026-05-14T17:04:13.917781,S15,Condiciones post-lluvia intensa — riesgo,sin_critic,urgente,1,0.7845,0,1,True,True,True,True,True
2026-05-14T17:04:13.918166,S01,Condiciones óptimas en La Rioja — verano,sin_rag,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.918275,S02,Primavera tranquila en Navarra,sin_rag,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.918367,S03,Otoño templado en Castilla — post-vendim,sin_rag,estandar,1,0.6575,1,0,True,True,True,True,True
2026-05-14T17:04:13.919017,S04,Mildiu alto en floración — Galicia húmed,sin_rag,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.919346,S05,Mildiu crítico — humedad extrema y tempe,sin_rag,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.920159,S06,Mildiu en maduración — septiembre Galici,sin_rag,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.920868,S07,Estrés hídrico moderado — verano seco La,sin_rag,urgente,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.921455,S08,Estrés hídrico severo — ola de calor Cas,sin_rag,urgente,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.922125,S09,Riego intensivo con lluvia — test guarda,sin_rag,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.922247,S10,Helada tardía en brotación — Castilla y ,sin_rag,urgente,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.922415,S11,Riesgo de helada leve — temperatura lími,sin_rag,urgente,1,0.7605,0,0,True,True,True,True,True
2026-05-14T17:04:13.922549,S12,Mildiu + estrés hídrico simultáneos — pr,sin_rag,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.922774,S13,Estrés térmico + estrés hídrico — verano,sin_rag,urgente,3,0.5515,0,0,True,True,True,True,True
2026-05-14T17:04:13.923214,S14,Triple alerta — mildiu + helada + viento,sin_rag,urgente,3,0.5135,0,0,True,True,True,True,True
2026-05-14T17:04:13.923865,S15,Condiciones post-lluvia intensa — riesgo,sin_rag,urgente,1,0.7845,0,0,True,True,True,True,True
